domain,category,single_i_auroc,single_p_auroc,all380_i_auroc,all380_p_auroc,all380_aupro
Industry,pink_flower,95.21,99.82,67.29,99.14,72.93
Industry,Pipe_Clamp,97.84,96.58,84.91,85.76,82.51
Industry,pipe_clip,83.47,96.69,81.26,93.59,81.94
Industry,pipe_staple,98.42,96.79,96.47,94.52,82.31
Industry,plastic_cylinder,100.00,99.44,99.41,99.57,98.61
Industry,plastic_nut,96.54,99.25,84.61,98.63,91.88
Industry,plastic_screw,95.50,97.38,90.80,95.64,84.90
Industry,porcelain_doll,95.88,97.67,93.03,98.61,93.57
Industry,purple_clay_pot,95.86,99.63,84.20,99.06,91.41
Industry,pushpins,78.77,62.11,73.04,56.51,55.30
Industry,red_washer,98.45,95.52,96.81,97.63,91.19
Industry,red_white_capsule,100.00,98.94,89.94,99.07,94.33
Industry,Redon_Needle,99.18,99.30,98.79,99.58,98.12
Industry,Retractor,98.03,99.27,93.07,99.38,95.15
Industry,Robust,96.76,97.23,94.88,83.56,72.08
Industry,rolled_strip_base,99.86,99.56,99.00,99.58,97.90
Industry,rope,99.88,99.21,99.41,99.53,97.69
Industry,round_button_cap,98.42,98.58,94.91,97.64,87.64
Industry,Saw_Blade,72.92,98.39,50.83,98.51,94.44
Industry,screw,98.66,99.34,94.84,99.21,96.19
Industry,screw_bag,67.38,70.98,64.85,69.91,47.49
Industry,Section_CL,100.00,98.46,98.28,98.66,93.31
Industry,Self_Tapping_Bolt,99.23,98.73,98.63,98.94,91.16
Industry,Shaft_CL,100.00,99.28,98.11,99.31,91.22
Industry,sheet_metal,66.53,77.94,75.83,74.72,30.97
Industry,short_button,93.29,98.33,78.96,94.29,76.87
Industry,Spray_can_CL,100.00,98.59,100.00,98.73,88.92
Industry,Spring_CL,98.89,98.86,85.42,94.15,87.96
Industry,spring_pad,100.00,99.68,94.78,99.71,98.97
Industry,Sprockets_CL,97.18,96.60,79.88,91.46,75.11
Industry,square_button_cap,98.79,98.24,96.96,97.60,86.71
Industry,Stratified_154,100.00,99.68,99.25,99.16,95.90
Industry,Tack,94.41,99.31,86.16,98.75,96.27
Industry,tank_screw,65.72,98.09,58.62,97.01,85.99
Industry,tape,99.35,99.24,98.29,99.19,96.16
Industry,Teapot_IL,95.54,97.26,77.13,95.83,83.02
Industry,Textile_Fabric,89.63,92.08,88.24,92.87,70.35
Industry,Textile_Vertical_Lines,86.47,94.33,84.93,96.78,63.15
